STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT04
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/20/2001,,,0.61,0,0,72,43,43,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/21/2001,,,0,0,0,43,27,28,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/22/2001,,,0,0,0,41,28,29,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/23/2001,,,0,0,0,48,26,27,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/24/2001,,,0,0,0,48,29,33,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/25/2001,,,0,0,0,54,30,36,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/26/2001,,,0,0,0,51,21,25,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/27/2001,,,0,0,0,50,23,39,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/28/2001,,,0,0,0,58,26,28,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/29/2001,,,0,0,0,59,28,37,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/30/2001,,,0.34,0,0,58,31,38,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",1/31/2001,,,0,0,0,67,37,53,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/1/2001,,,0,0,0,67,41,41,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/2/2001,,,0,0,0,51,40,42,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/3/2001,,,0,0,0,52,26,28,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/4/2001,,,0,0,0,44,28,35,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/5/2001,,,0.32,0,0,40,35,39,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/6/2001,,,0,0,0,55,34,35,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/7/2001,,,0,0,0,56,35,43,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/8/2001,,,0,0,0,66,35,41,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/9/2001,,,0,0,0,64,41,49,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/10/2001,,,0.09,0,0,69,49,58,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/11/2001,,,0,0,0,64,31,34,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/12/2001,,,0.02,0,0,64,30,30,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/13/2001,,,0.19,0,0,35,30,35,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/14/2001,,,0.05,0,0,56,35,47,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/15/2001,,,0,0,0,61,46,61,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/16/2001,,,0,0,0,70,47,59,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/17/2001,,,0.8,0,0,74,46,46,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/18/2001,,,0,0,0,52,26,28,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/19/2001,,,0,0,0,40,29,32,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/20/2001,,,0,0,0,51,32,40,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/21/2001,,,0,0,0,67,32,53,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/22/2001,,,0,0,0,64,53,33,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/23/2001,,,0.08,0,0,33,24,26,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/24/2001,,,0,0,0,52,24,37,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/25/2001,,,0,0,0,58,37,52,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/26/2001,,,0.19,0,0,65,53,54,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/27/2001,,,0,0,0,67,41,49,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",2/28/2001,,,0,0,0,61,44,51,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/1/2001,,,0,0,0,61,37,40,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/2/2001,,,0,0,0,59,36,48,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/3/2001,,,0,0,0,70,40,49,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/4/2001,,,1.08,0,0,51,44,44,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/5/2001,,,0.08,0,0,48,40,40,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/6/2001,,,0,0,0,52,26,29,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/7/2001,,,0,0,0,40,24,35,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/8/2001,,,0,0,0,49,29,33,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/9/2001,,,0,0,0,55,29,44,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/10/2001,,,0,0,0,56,28,32,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/11/2001,,,0,0,0,51,31,40,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/12/2001,,,0,0,0,65,40,47,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/13/2001,,,0.12,0,0,75,47,61,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/14/2001,,,0,0,0,69,51,55,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/15/2001,,,0.14,0,0,55,48,48,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/16/2001,,,0.38,0,0,56,44,44,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/17/2001,,,0,0,0,54,42,43,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/18/2001,,,0,0,0,64,38,40,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/19/2001,,,0,0,0,55,34,39,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/20/2001,,,0,0,0,55,39,42,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/21/2001,,,1.7,0,0,54,38,48,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/22/2001,,,0.59,0,0,53,43,45,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/23/2001,,,0,0,0,64,41,48,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/24/2001,,,0,0,0,65,45,55,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/25/2001,,,0,0,0,74,45,45,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/26/2001,,,0,0,0,53,38,37,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/27/2001,,,0,0,0,48,26,32,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/28/2001,,,0,0,0,46,27,35,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/29/2001,,,0.46,0,0,54,27,40,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/30/2001,,,0.95,0,0,64,40,45,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",3/31/2001,,,0,0,0,,,,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/1/2001,,,0,0,0,69,46,55,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/2/2001,,,0.53,0,0,69,45,46,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/3/2001,,,0.85,0,0,44,37,40,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/4/2001,,,0,0,0,60,40,50,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/5/2001,,,0.09,0,0,60,40,47,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/6/2001,,,0,0,0,60,38,41,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/7/2001,,,0,0,0,77,40,66,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/8/2001,,,0,0,0,88,66,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/9/2001,,,0,0,0,90,68,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/10/2001,,,0,0,0,90,65,68,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/11/2001,,,0,0,0,91,58,58,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/12/2001,,,0,0,0,85,58,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/13/2001,,,0,0,0,77,57,59,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/14/2001,,,0,0,0,78,57,62,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/15/2001,,,0,0,0,77,58,62,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/16/2001,,,0,0,0,75,55,55,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/17/2001,,,0,0,0,67,49,49,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/18/2001,,,0,0,0,51,34,58,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/19/2001,,,0,0,0,52,33,47,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/20/2001,,,0,0,0,69,43,49,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/21/2001,,,0,0,0,70,49,56,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/22/2001,,,0,0,0,78,56,59,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/23/2001,,,0,0,0,82,59,62,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/24/2001,,,0,0,0,82,62,65,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/25/2001,,,0.98,0,0,84,48,49,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/26/2001,,,0.1,0,0,84,40,43,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/27/2001,,,0,0,0,51,40,42,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/28/2001,,,0,0,0,65,41,49,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/29/2001,,,0,0,0,76,49,59,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/30/2001,,,0,0,0,77,52,52,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/1/2001,,,0,0,0,73,51,58,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/2/2001,,,0,0,0,78,58,61,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/3/2001,,,0,0,0,80,58,62,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/4/2001,,,0,0,0,82,58,62,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/5/2001,,,0,0,0,84,58,64,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/6/2001,,,0,0,0,86,60,61,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/7/2001,,,0,0,0,69,40,49,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/8/2001,,,0,0,0,70,47,55,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/9/2001,,,0,0,0,74,55,62,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/10/2001,,,0,0,0,79,56,65,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/11/2001,,,1.09,0,0,81,56,67,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/12/2001,,,0,0,0,89,65,66,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/13/2001,,,0.08,0,0,87,57,59,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/14/2001,,,0,0,0,87,48,56,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/15/2001,,,0,0,0,85,56,61,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/16/2001,,,0.78,0,0,75,55,56,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/17/2001,,,0.07,0,0,75,51,53,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/18/2001,,,0,0,0,83,51,74,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/19/2001,,,0.12,0,0,90,65,66,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/20/2001,,,0,0,0,85,62,68,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/21/2001,,,0.25,0,0,80,65,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/22/2001,,,0.35,0,0,81,64,70,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/23/2001,,,0.07,0,0,87,56,60,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/24/2001,,,0,0,0,77,57,60,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/25/2001,,,0,0,0,81,68,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/26/2001,,,0.32,0,0,85,61,62,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/27/2001,,,0.04,0,0,85,58,63,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/28/2001,,,0,0,0,82,64,65,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/29/2001,,,0.37,0,0,69,53,65,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/30/2001,,,0.12,0,0,77,52,67,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/31/2001,,,0,0,0,82,54,62,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/1/2001,,,0,0,0,76,62,66,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/2/2001,,,2.2,0,0,80,62,65,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/3/2001,,,0,0,0,80,65,66,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/4/2001,,,0,0,0,83,63,63,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/5/2001,,,0,0,0,85,63,75,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/6/2001,,,0,0,0,91,68,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/7/2001,,,0.05,0,0,90,67,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/8/2001,,,0,0,0,87,70,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/9/2001,,,0,0,0,80,65,68,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/10/2001,,,0,0,0,80,64,67,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/11/2001,,,0,0,0,85,67,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/12/2001,,,0,0,0,85,70,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/13/2001,,,0,0,0,87,77,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/14/2001,,,0.52,0,0,85,73,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/15/2001,,,1.35,0,0,77,71,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/16/2001,,,0.31,0,0,82,70,74,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/17/2001,,,2.5,0,0,88,64,70,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/18/2001,,,0,0,0,86,66,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/19/2001,,,0,0,0,87,67,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/20/2001,,,0,0,0,85,69,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/21/2001,,,0,0,0,86,70,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/22/2001,,,0.13,0,0,87,69,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/23/2001,,,0.43,0,0,87,67,68,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/24/2001,,,0.2,0,0,83,65,67,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/25/2001,,,0.07,0,0,81,66,68,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/26/2001,,,0.15,0,0,82,67,70,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/27/2001,,,0,0,0,85,69,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/28/2001,,,0,0,0,87,72,76,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/29/2001,,,0,0,0,90,73,78,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/30/2001,,,0,0,0,90,72,75,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/1/2001,,,0,0,0,89,73,76,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/2/2001,,,0,0,0,88,73,76,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/3/2001,,,0,0,0,80,65,66,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/4/2001,,,0,0,0,80,64,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/5/2001,,,0.86,0,0,87,68,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/6/2001,,,0,0,0,87,68,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/7/2001,,,0,0,0,83,63,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/8/2001,,,0,0,0,83,69,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/9/2001,,,0.41,0,0,79,69,75,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/10/2001,,,0.74,0,0,90,70,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/11/2001,,,0,0,0,89,70,78,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/12/2001,,,0,0,0,92,70,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/13/2001,,,0,0,0,86,70,70,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/14/2001,,,0,0,0,75,62,66,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/15/2001,,,0,0,0,85,63,64,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/16/2001,,,0,0,0,84,64,70,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/17/2001,,,0,0,0,87,70,74,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/18/2001,,,0,0,0,88,71,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/19/2001,,,0.05,0,0,89,73,74,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/20/2001,,,0,0,0,84,67,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/21/2001,,,0,0,0,84,60,66,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/22/2001,,,0,0,0,84,61,68,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/23/2001,,,0,0,0,86,67,75,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/24/2001,,,0,0,0,87,74,74,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/25/2001,,,0.22,0,0,84,73,74,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/26/2001,,,0.1,0,0,84,71,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/27/2001,,,2.05,0,0,89,70,70,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/28/2001,,,0.09,0,0,72,65,66,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/29/2001,,,0,0,0,72,64,67,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/30/2001,,,0.17,0,0,80,65,66,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/31/2001,,,0,0,0,81,64,68,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/1/2001,,,0,0,0,82,65,68,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/2/2001,,,0,0,0,83,62,66,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/3/2001,,,0,0,0,83,65,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/4/2001,,,0,0,0,84,68,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/5/2001,,,0,0,0,87,69,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/6/2001,,,0,0,0,88,70,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/7/2001,,,0,0,0,88,71,76,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/8/2001,,,0,0,0,93,75,80,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/9/2001,,,0,0,0,96,75,78,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/10/2001,,,0,0,0,95,76,80,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/11/2001,,,0.18,0,0,94,71,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/12/2001,,,1.08,0,0,91,72,76,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/13/2001,,,0,0,0,90,70,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/14/2001,,,1.4,0,0,90,70,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/15/2001,,,0,0,0,87,69,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/16/2001,,,0,0,0,86,69,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/17/2001,,,0,0,0,88,70,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/18/2001,,,0.03,0,0,90,70,76,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/19/2001,,,0.22,0,0,85,69,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/20/2001,,,0.12,0,0,84,71,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/21/2001,,,0,0,0,86,66,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/22/2001,,,0,0,0,86,64,67,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/23/2001,,,0,0,0,87,64,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/24/2001,,,0.35,0,0,87,69,70,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/25/2001,,,0,0,0,82,65,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/26/2001,,,0,0,0,84,63,65,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/27/2001,,,0,0,0,85,65,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/28/2001,,,0.11,0,0,90,72,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/29/2001,,,0,0,0,87,70,76,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/30/2001,,,0,0,0,87,71,72,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/31/2001,,,0.67,0,0,85,70,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/1/2001,,,0,0,0,80,70,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/2/2001,,,0.21,0,0,75,68,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/3/2001,,,0,0,0,80,66,68,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/4/2001,,,0.05,0,0,76,68,69,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/5/2001,,,0,0,0,78,67,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/6/2001,,,0,0,0,84,64,67,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/7/2001,,,0,0,0,82,62,65,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/8/2001,,,0,0,0,83,61,67,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/9/2001,,,0,0,0,84,65,76,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/10/2001,,,0.03,0,0,83,70,73,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/11/2001,,,0.26,0,0,85,70,71,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/12/2001,,,0,0,0,87,60,64,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/13/2001,,,0,0,0,86,61,65,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/14/2001,,,0,0,0,79,60,62,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/15/2001,,,0,0,0,78,52,55,,,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/16/2001,,,0,0,0,70,51,56,,,
